nome,url
Arneiros,https://www.zerozero.pt/equipa/arneiros/11178
Arroios,https://www.zerozero.pt/equipa/arroios/11611
Arrudense,https://www.zerozero.pt/equipa/arrudense/12775
Arsenal,https://www.zerozero.pt/equipa/arsenal-72/15002
Ases Alto Pina,https://www.zerozero.pt/equipa/ases-alto-pina/310684
Ass. Mor. Familiar,https://www.zerozero.pt/equipa/ass-mor-familiar/322267
Ass. Mor. Lugar Ereira,https://www.zerozero.pt/equipa/ass-mor-lugar-ereira/321236
Assoc. Charneca,https://www.zerozero.pt/equipa/assoc-charneca/10855
Assoc. Torre,https://www.zerozero.pt/equipa/assoc-torre/3962
Associação Murteirense,https://www.zerozero.pt/equipa/associacao-murteirense/28970
At. Malveira,https://www.zerozero.pt/equipa/at-malveira/3558
At. Povoense,https://www.zerozero.pt/equipa/at-povoense/3881
At. Tojal,https://www.zerozero.pt/equipa/at-tojal/10223
Atibá,https://www.zerozero.pt/equipa/atiba/16033
Atl. Cl. Sacavém,https://www.zerozero.pt/equipa/atl-cl-sacavem/311644
Atlético CP,https://www.zerozero.pt/equipa/atletico-cp/2170
Atlético Cacém,https://www.zerozero.pt/equipa/atletico-cacem/3880
Atlético da Encarnação,https://www.zerozero.pt/equipa/atletico-da-encarnacao/83744
Aveiras,https://www.zerozero.pt/equipa/aveiras/15464
Azambuja,https://www.zerozero.pt/equipa/azambuja/21199
Bairro Dona Leonor,https://www.zerozero.pt/equipa/bairro-dona-leonor/15966
Bairro Flamenga,https://www.zerozero.pt/equipa/bairro-flamenga/287022
Bairro São João,https://www.zerozero.pt/equipa/bairro-sao-joao/15985
Bairro da Soda,https://www.zerozero.pt/equipa/bairro-da-soda/57469
Barreiralvense,https://www.zerozero.pt/equipa/barreiralvense/11202
Barril,https://www.zerozero.pt/equipa/barril/36607
Barroense,https://www.zerozero.pt/equipa/barroense/286973
Beira-Mar,https://www.zerozero.pt/equipa/beira-mar/2
Belenenses,https://www.zerozero.pt/equipa/belenenses/3
Benfica,https://www.zerozero.pt/equipa/benfica/22
Benfica Cadaval,https://www.zerozero.pt/equipa/benfica-cadaval/286122
Biba,https://www.zerozero.pt/equipa/biba-cd/321198
Bless Academy,https://www.zerozero.pt/equipa/bless-academy/260932
Boa-Hora,https://www.zerozero.pt/equipa/boa-hora/209924
Boavista,https://www.zerozero.pt/equipa/boavista/5
Bobadelense,https://www.zerozero.pt/equipa/bobadelense/11206
Bocal,https://www.zerozero.pt/equipa/bocal/11200
Bons Dias,https://www.zerozero.pt/equipa/bons-dias/333912
Botica,https://www.zerozero.pt/equipa/botica-fc/287034
Braga,https://www.zerozero.pt/equipa/braga/2460
Bragadense,https://www.zerozero.pt/equipa/bragadense/57746
C. Formação Desportiva,https://www.zerozero.pt/equipa/c-formacao-desportiva/310414
C2foot,https://www.zerozero.pt/equipa/c2foot/98236
CA Olivais,https://www.zerozero.pt/equipa/ca-olivais/286862
CAA,https://www.zerozero.pt/equipa/caa/330669
CAC,https://www.zerozero.pt/equipa/cac/3935
CAD,https://www.zerozero.pt/equipa/cad/50698
CB Agualva Cacém,https://www.zerozero.pt/equipa/cb-agualva-cacem/36427
CB Alverca,https://www.zerozero.pt/equipa/cb-alverca/37061
CB Castanheira Ribatejo,https://www.zerozero.pt/equipa/cb-castanheira-ribatejo/105410
CB Loures,https://www.zerozero.pt/equipa/cb-loures/100986
CB Torres Vedras,https://www.zerozero.pt/equipa/cb-torres-vedras/95747
CCAV Lisboa,https://www.zerozero.pt/equipa/ccav-lisboa/322067
CCD Caxias,https://www.zerozero.pt/equipa/ccd-caxias/310351
CCD Rádio Marconi,https://www.zerozero.pt/equipa/ccd-radio-marconi/310558
CCR Bairro Girassol,https://www.zerozero.pt/equipa/ccr-bairro-girassol/306538
CD Belas,https://www.zerozero.pt/equipa/cd-belas/10219
CD Charneca,https://www.zerozero.pt/equipa/cd-charneca/61197
CD Mafra,https://www.zerozero.pt/equipa/cd-mafra/3696
CD Os Académicos,https://www.zerozero.pt/equipa/cd-os-academicos/287045
CD Palhavã,https://www.zerozero.pt/equipa/cd-palhava/58029
CD Reguengo,https://www.zerozero.pt/equipa/cd-reguengo/45326
CDCR Moinhos Funcheira,https://www.zerozero.pt/equipa/cdcr-moinhos-funcheira/287048
CDR Massamá,https://www.zerozero.pt/equipa/cdr-massama/12233
CDRC Lobos Planalto,https://www.zerozero.pt/equipa/cdrc-lobos-planalto/303228
CDUL,https://www.zerozero.pt/equipa/cdul/50740
CE Salesiano,https://www.zerozero.pt/equipa/ce-salesiano/278487
CEUL,https://www.zerozero.pt/equipa/ceul/303314
CF Chelas,https://www.zerozero.pt/equipa/cf-chelas/24788
CF Queijas,https://www.zerozero.pt/equipa/cf-queijas/310388
CF Sassoeiros,https://www.zerozero.pt/equipa/cf-sassoeiros/112741
